eval,a_median,a_q25,a_q75,b_median,b_q25,b_q75,c_median,c_q25,c_q75,d_median,d_q25,d_q75
1,38.95322071059174,35.922246975369816,44.019299221903296,38.95322071059174,35.922246975369816,44.019299221903296,38.95322071059174,35.922246975369816,44.019299221903296,38.95322071059174,35.922246975369816,44.019299221903296
2,37.63439645707693,34.40874876004371,39.09795156121306,36.85414552277781,33.733699612995025,39.29694642595422,36.85414552277781,33.733699612995025,39.29694642595422,36.85414552277781,33.733699612995025,39.29694642595422
3,36.62649835427238,33.81969784427881,37.914770248907146,35.59736298287646,33.04857924343957,37.61586170384763,35.59736298287646,33.04857924343957,37.61586170384763,35.59736298287646,33.04857924343957,37.61586170384763
4,35.141116905737384,32.927051657620524,36.82841236055171,35.17911480349544,32.83095853586248,37.33577255204656,35.17911480349544,32.83095853586248,37.33577255204656,35.17911480349544,32.83095853586248,37.33577255204656
5,34.560521987735655,32.866863023241535,36.65833641056375,34.800136514247455,31.997795934928007,36.41850539785773,34.800136514247455,31.997795934928007,36.41850539785773,34.800136514247455,31.997795934928007,36.41850539785773
6,34.320705258444875,32.81688149051946,36.526732901037704,33.65842406604865,31.56377489947307,35.93142441080382,33.65842406604865,31.56377489947307,35.93142441080382,33.65842406604865,31.56377489947307,35.93142441080382
7,33.97684482031241,32.398588658238765,36.08464441704429,33.43813607852772,31.39789963091615,35.16711701422356,33.43813607852772,31.39789963091615,35.16711701422356,33.43813607852772,31.39789963091615,35.16711701422356
8,33.69270802394638,32.02741150378594,35.809362729231566,32.62861829380293,30.83707522659781,34.40429270955086,32.62861829380293,30.83707522659781,34.40429270955086,32.62861829380293,30.83707522659781,34.40429270955086
9,33.63829852023456,32.02741150378594,35.27203386118001,32.26853702033643,30.629107221366404,34.1013417691683,32.26853702033643,30.629107221366404,34.1013417691683,32.26853702033643,30.629107221366404,34.1013417691683
10,33.28131147849759,31.382220631082845,35.1880362604996,31.985030944119963,30.629107221366404,33.80829187448003,31.985030944119963,30.629107221366404,33.80829187448003,31.985030944119963,30.629107221366404,33.80829187448003
11,32.93893550800417,31.382220631082845,34.387436415853315,31.985030944119963,30.629107221366404,33.7521056366149,31.985030944119963,30.629107221366404,33.7521056366149,31.985030944119963,30.629107221366404,33.7521056366149
