K,B,J,J_sd,mean_wait_min,service_level_pct,stranded_pct,fleet_penalty,max_concurrency
10,2,23.5354,1.7531,23.5354,36.9228,22.5515,0.0,2.0
10,3,21.9255,1.0867,21.9255,36.3045,17.7043,0.0,2.0
10,4,22.5012,0.9051,22.5012,37.4447,20.0117,0.0,2.2
11,2,20.5968,1.5302,20.5968,40.5947,16.4121,0.0,2.0
11,3,19.1175,0.7748,19.1175,40.511,13.1744,0.0,2.0
11,4,19.7806,1.6415,19.7806,40.7407,14.657,0.0,2.0
12,2,18.5715,1.4505,18.5715,42.3111,12.453,0.0,2.0
12,3,18.3117,1.0512,18.3117,43.5271,11.6945,0.0,2.4
12,4,18.6677,1.0293,18.6677,43.7517,12.8852,0.0,2.2
13,2,17.4298,2.0381,17.4298,43.0773,9.6819,0.0,2.0
13,3,17.6962,0.318,17.6962,43.1638,10.4779,0.0,2.0
13,4,16.3262,0.7447,16.3262,45.6879,8.2114,0.0,2.2
14,2,16.3098,1.0751,16.3098,45.5176,7.9612,0.0,2.0
14,3,16.3535,0.6644,16.3535,46.9072,8.5725,0.0,2.8
14,4,15.7029,0.8562,15.7029,48.4949,7.732,0.0,2.2
15,2,14.8263,0.4223,14.8263,48.5755,5.5483,0.0,2.0
15,3,14.8598,0.9602,14.8598,48.0022,5.8559,0.0,2.8
15,4,15.2313,0.835,15.2313,51.1259,7.8,0.0,2.8
16,2,15.2278,1.8194,15.2278,48.6606,6.3477,0.0,2.0
16,3,14.7076,1.0192,14.7076,49.9172,6.3448,0.0,2.8
16,4,14.6191,0.3417,14.6191,49.9466,5.3883,0.0,3.0
17,2,14.2771,0.8345,14.2771,48.8389,4.257,0.0,2.0
17,3,13.8453,0.9822,13.8453,52.7682,5.6763,0.0,3.0
17,4,14.3705,1.2125,14.3705,53.7312,6.665,0.0,3.0
18,2,13.278,0.5775,13.278,52.3979,3.7057,0.0,2.0
18,3,12.6791,0.2526,12.6791,56.0452,3.7074,0.0,3.0
18,4,13.1111,0.7137,13.1111,55.7365,4.1409,0.0,3.0
