"state (qA,qB,phi,e,p)",green_queue_is_longer,R(hold) - R(switch),gamma*[EV(hold) - EV(switch)],Q(hold) - Q(switch),optimal
"(1,0,A,5,peak)",True,3.0,-5.009453197454832,-2.0094531974548318,SWITCH
"(0,12,A,5,peak)",False,3.0,-32.64168098464904,-29.641680984649042,SWITCH
"(0,11,A,5,peak)",False,2.9999999999999982,-31.464171391136915,-28.464171391136915,SWITCH
"(0,12,A,4,peak)",False,3.0,-31.15808335936788,-28.15808335936788,SWITCH
"(0,12,A,3,peak)",False,3.0,-30.89642360475932,-27.89642360475932,SWITCH
"(0,12,A,2,peak)",False,3.0,-30.84876162055366,-27.84876162055366,SWITCH
"(12,0,B,5,peak)",False,3.0,-30.059516725448248,-27.059516725448248,SWITCH
"(0,11,A,4,peak)",False,2.9999999999999982,-29.960123627756047,-26.960123627756047,SWITCH
"(12,0,B,4,peak)",False,3.0,-29.886566343816412,-26.886566343816412,SWITCH
"(12,0,B,3,peak)",False,3.0,-29.8827775642917,-26.8827775642917,SWITCH
