algorithm,n,seed,nodes_expanded,backtracks,constraint_checks,repair_steps,runtime_seconds,objective,num_assigned,num_unassigned,failure_rate,success,hit_step_budget,budget_s,censored
basic_backtracking,5,7,6,1,6,0,0.00011934999997720297,87.0872816084968,5,0,0.0,True,False,5.0,False
basic_backtracking,5,13,6,1,6,0,3.017499989255157e-05,98.49768185336382,5,0,0.0,True,False,5.0,False
basic_backtracking,5,42,6,1,6,0,3.5261999983049463e-05,55.79772938890289,5,0,0.0,True,False,5.0,False
basic_backtracking,5,101,1606,1606,1606,0,0.009161831000028542,427.36594898586844,3,2,0.4,False,False,5.0,False
basic_backtracking,5,202,247442,247442,247442,0,1.862222981000059,198.13913492161254,4,1,0.2,False,False,5.0,False
basic_backtracking,5,303,6,1,6,0,3.2491999945705174e-05,25.233782554304653,5,0,0.0,True,False,5.0,False
basic_backtracking,5,404,7,2,7,0,3.134500002488494e-05,40.43487826847239,5,0,0.0,True,False,5.0,False
basic_backtracking,5,505,6,1,6,0,2.952199997707794e-05,55.64021684396608,5,0,0.0,True,False,5.0,False
basic_backtracking,8,7,11,3,11,0,5.5354000096485834e-05,148.1789723238675,8,0,0.0,True,False,5.0,False
basic_backtracking,8,13,13,5,13,0,5.513499991138815e-05,165.06947949497533,8,0,0.0,True,False,5.0,False
basic_backtracking,8,42,12,4,12,0,6.18510000549577e-05,107.95418282367773,8,0,0.0,True,False,5.0,False
basic_backtracking,8,101,91115,91115,91115,0,0.37297248499999114,785.418313807762,5,3,0.375,False,False,5.0,False
basic_backtracking,8,202,984730,984723,984730,0,5.0000030329999845,241.56445740092343,7,1,0.125,False,False,5.0,True
basic_backtracking,8,303,10,2,10,0,6.151000002319051e-05,92.73052747526327,8,0,0.0,True,False,5.0,False
basic_backtracking,8,404,13,5,13,0,6.153900017125125e-05,64.24134107205839,8,0,0.0,True,False,5.0,False
basic_backtracking,8,505,10,2,10,0,5.720800004382909e-05,125.09161059108362,8,0,0.0,True,False,5.0,False
basic_backtracking,10,7,14,4,14,0,7.75129999510682e-05,166.37990749741178,10,0,0.0,True,False,5.0,False
basic_backtracking,10,13,20,10,20,0,8.249200004684099e-05,217.65902623499073,10,0,0.0,True,False,5.0,False
basic_backtracking,10,42,375458,375449,375458,0,5.0000053589999425,246.0629861258225,9,1,0.1,False,False,5.0,True
basic_backtracking,10,101,819616,819609,819616,0,5.000005993000059,798.0383122982422,7,3,0.3,False,False,5.0,True
basic_backtracking,10,202,670647,670639,670647,0,5.000010983000038,409.7760571813622,8,2,0.2,False,False,5.0,True
basic_backtracking,10,303,14,4,14,0,9.129499994742218e-05,109.70815935184638,10,0,0.0,True,False,5.0,False
basic_backtracking,10,404,314160,314151,314160,0,5.000009438999996,214.66420524998398,9,1,0.1,False,False,5.0,True
basic_backtracking,10,505,17,7,17,0,0.00016008400007194723,143.024046529168,10,0,0.0,True,False,5.0,False
basic_backtracking,12,7,23,11,23,0,0.0001311680000526394,228.6107489256725,12,0,0.0,True,False,5.0,False
basic_backtracking,12,13,24,12,24,0,0.0001285849998566846,239.55717176682413,12,0,0.0,True,False,5.0,False
basic_backtracking,12,42,509173,509162,509173,0,5.000020826000082,262.68557714841154,11,1,0.08333333333333333,False,False,5.0,True
basic_backtracking,12,101,651813,651804,651813,0,5.000004477999937,809.5472782451586,9,3,0.25,False,False,5.0,True
basic_backtracking,12,202,835252,835242,835252,0,5.000010467000038,460.88608188471983,10,2,0.16666666666666666,False,False,5.0,True
basic_backtracking,12,303,17,5,17,0,0.00011545100005605491,148.38839612276044,12,0,0.0,True,False,5.0,False
basic_backtracking,12,404,564960,564949,564960,0,5.000012763000086,270.8539007459019,11,1,0.08333333333333333,False,False,5.0,True
basic_backtracking,12,505,26,14,26,0,0.00011726699995051604,193.35678950960943,12,0,0.0,True,False,5.0,False
basic_backtracking,15,7,38,23,38,0,0.0001682499998878484,309.05986323921684,15,0,0.0,True,False,5.0,False
basic_backtracking,15,13,46,31,46,0,0.00017728300008457154,297.35809699862006,15,0,0.0,True,False,5.0,False
basic_backtracking,15,42,479818,479804,479818,0,5.000011121999933,332.5470337481749,14,1,0.06666666666666667,False,False,5.0,True
basic_backtracking,15,101,530360,530349,530360,0,5.000005443999953,867.497972876146,12,3,0.2,False,False,5.0,True
basic_backtracking,15,202,1447550,1447537,1447550,0,5.000011631000007,497.0753873575685,13,2,0.13333333333333333,False,False,5.0,True
